Month_abb,Year,Station,Coordinates,Group,Taxa,Biomass
Jan,2009,BY15,20.05000/57.33333,Copepoda,Acartia,6.6503187
Jan,2009,BY31,18.23333/58.58812,Copepoda,Acartia,1.8169941
Jan,2009,BY5,15.98333/55.25000,Copepoda,Acartia,5.5620974499999996
Jan,2009,BY15,20.05000/57.33333,Copepoda,Centropages,5.738561499999999
Jan,2009,BY31,18.23333/58.58812,Copepoda,Centropages,1.2287586
Jan,2009,BY5,15.98333/55.25000,Copepoda,Centropages,14.405224
Jan,2009,BY15,20.05000/57.33333,Copepoda,Pseudocalanus,10.522882000000001
Jan,2009,BY31,18.23333/58.58812,Copepoda,Pseudocalanus,5.633984
Jan,2009,BY5,15.98333/55.25000,Copepoda,Pseudocalanus,21.594775
Jan,2009,BY15,20.05000/57.33333,Copepoda,Temora,9.725488200000001
Jan,2009,BY31,18.23333/58.58812,Copepoda,Temora,4.993464899999999
Jan,2009,BY5,15.98333/55.25000,Copepoda,Temora,45.738529
Jan,2009,BY15,20.05000/57.33333,Rotatoria,Synchaeta,0.392157
Jan,2009,BY31,18.23333/58.58812,Rotatoria,Synchaeta,0.47058900000000004
Jan,2009,BY5,15.98333/55.25000,Rotatoria,Synchaeta,0.392157
Jan,2010,BY15,20.05000/57.33333,Copepoda,Acartia,2.46731935
Jan,2010,BY31,18.23333/58.58812,Copepoda,Acartia,2.248367
Jan,2010,BY15,20.05000/57.33333,Copepoda,Centropages,0.30718934999999997
Jan,2010,BY31,18.23333/58.58812,Copepoda,Centropages,0.38562075
Jan,2010,BY31,18.23333/58.58812,Copepoda,Eurytemora,0.08496735
Jan,2010,BY15,20.05000/57.33333,Copepoda,Pseudocalanus,13.601301
Jan,2010,BY31,18.23333/58.58812,Copepoda,Pseudocalanus,2.6601280000000003
Jan,2010,BY15,20.05000/57.33333,Copepoda,Temora,7.5490209
Jan,2010,BY31,18.23333/58.58812,Copepoda,Temora,8.418301
Jan,2010,BY15,20.05000/57.33333,Rotatoria,Synchaeta,0.1568628
Jan,2010,BY31,18.23333/58.58812,Rotatoria,Synchaeta,0.41176499999999994
Jan,2011,BY15,20.05000/57.33333,Copepoda,Acartia,5.065367
Jan,2011,BY31,18.23333/58.58812,Copepoda,Acartia,6.0653592
Jan,2011,BY5,15.98333/55.25000,Copepoda,Acartia,9.6209217
Jan,2011,BY15,20.05000/57.33333,Copepoda,Centropages,2.9803908000000003
Jan,2011,BY31,18.23333/58.58812,Copepoda,Centropages,0.705882
Jan,2011,BY5,15.98333/55.25000,Copepoda,Centropages,1.8692822999999996
Jan,2011,BY31,18.23333/58.58812,Copepoda,Eurytemora,1.6078432
Jan,2011,BY15,20.05000/57.33333,Copepoda,Pseudocalanus,49.660135000000004
Jan,2011,BY31,18.23333/58.58812,Copepoda,Pseudocalanus,3.3071872499999997
Jan,2011,BY5,15.98333/55.25000,Copepoda,Pseudocalanus,3.7777769999999995
Jan,2011,BY15,20.05000/57.33333,Copepoda,Temora,36.431384
Jan,2011,BY31,18.23333/58.58812,Copepoda,Temora,17.2418325
Jan,2011,BY5,15.98333/55.25000,Copepoda,Temora,47.35951
Jan,2011,BY31,18.23333/58.58812,Rotatoria,Keratella,0.01960785
Jan,2011,BY5,15.98333/55.25000,Rotatoria,Keratella,0.01960785
Jan,2011,BY15,20.05000/57.33333,Rotatoria,Synchaeta,0.549021
Jan,2011,BY31,18.23333/58.58812,Rotatoria,Synchaeta,0.1960785
Jan,2011,BY5,15.98333/55.25000,Rotatoria,Synchaeta,0.666666
Jan,2015,BY15,20.05000/57.33333,Copepoda,Acartia,4.7200063
Jan,2015,BY15,20.05000/57.33333,Copepoda,Centropages,3.5399987500000005
Jan,2015,BY15,20.05000/57.33333,Copepoda,Pseudocalanus,15.02
Jan,2015,BY15,20.05000/57.33333,Copepoda,Temora,10.7066649
Jan,2015,BY15,20.05000/57.33333,Rotatoria,Keratella,0.010000005
Jan,2015,BY15,20.05000/57.33333,Rotatoria,Synchaeta,0.440001
Jan,2016,BY15,20.05000/57.33333,Copepoda,Acartia,2.48666755
Jan,2016,BY31,18.23333/58.58812,Copepoda,Acartia,1.4616663
Jan,2016,BY5,15.98333/55.25000,Copepoda,Acartia,8.686665600000001
Jan,2016,BY15,20.05000/57.33333,Copepoda,Centropages,6.2266595
Jan,2016,BY31,18.23333/58.58812,Copepoda,Centropages,1.5533333500000002
Jan,2016,BY5,15.98333/55.25000,Copepoda,Centropages,6.180007849999999
Jan,2016,BY31,18.23333/58.58812,Copepoda,Pseudocalanus,2.8066655000000003
Jan,2016,BY5,15.98333/55.25000,Copepoda,Pseudocalanus,1.8949995000000002
Jan,2016,BY15,20.05000/57.33333,Copepoda,Temora,17.6533153
Jan,2016,BY31,18.23333/58.58812,Copepoda,Temora,0.90666748
Jan,2016,BY5,15.98333/55.25000,Copepoda,Temora,17.8799791
Jan,2016,BY5,15.98333/55.25000,Rotatoria,Keratella,0.04999995
